Country,Year,Type of event,Total affected,Total Damage
Peru,2007,Flood,47714,0
Peru,2008,Flood,450012,0
Peru,2009,Flood,236308,0
Peru,2010,Flood,80000,0
Peru,2011,Earthquake,2681,0
Peru,2011,Flood,822945,0
Peru,2011,Storm,0,0
Peru,2012,Earthquake,4435,0
Peru,2012,Flood,50029,0
Peru,2013,Earthquake,7084,0
Peru,2013,Flood,181121,0
Peru,2014,Earthquake,604,0
Peru,2014,Flood,92878,0
Peru,2015,Flood,150640,0
Peru,2016,Earthquake,11439,0
Peru,2016,Flood,10000,2000000
Peru,2017,Flood,2076353,3100000000
Philippines (the),2002,Drought,0,453000
Philippines (the),2002,Earthquake,73451,1714000
Philippines (the),2002,Flood,155567,1842000
Philippines (the),2002,Storm,982194,13534000
Philippines (the),2003,Flood,3500,0
Philippines (the),2003,Storm,466261,35302000
Philippines (the),2004,Flood,21694,0
Philippines (the),2004,Storm,3241278,138867000
Philippines (the),2005,Flood,193046,515000
Philippines (the),2005,Storm,20011,2000000
Philippines (the),2006,Flood,732509,14157000
Philippines (the),2006,Storm,7821808,330921000
Philippines (the),2007,Drought,0,0
Philippines (the),2007,Flood,86747,6600000
Philippines (the),2007,Storm,1922309,10215000
Philippines (the),2008,Flood,1602889,39577000
Philippines (the),2008,Storm,6851979,441625000
Philippines (the),2009,Earthquake,392,90000
Philippines (the),2009,Flood,1083276,29314000
Philippines (the),2009,Storm,12221663,932703000
Philippines (the),2010,Flood,2846935,50589000
Philippines (the),2010,Storm,2595545,284420000
Philippines (the),2011,Earthquake,28,0
Philippines (the),2011,Flood,2218828,202787000
Philippines (the),2011,Storm,9468676,527238000
Philippines (the),2012,Earthquake,353157,12144000
Philippines (the),2012,Flood,4614628,75330000
Philippines (the),2012,Storm,7560480,918137000
Philippines (the),2013,Earthquake,3222224,51459000
